"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Northwest Territories","2016A000261","Natural resources, agriculture and related production occupations [8]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105666751","13.10.13.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in manufacturing and utilities [9]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105671872","13.11.4.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in manufacturing and utilities [9]","No minimum level of education required","Job vacancies","Number","223","units","0","v105671875","13.11.5.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in manufacturing and utilities [9]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105671878","13.11.6.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in manufacturing and utilities [9]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105671881","13.11.7.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in manufacturing and utilities [9]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105671890","13.11.10.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in manufacturing and utilities [9]","Bachelor's degree","Job vacancies","Number","223","units","0","v105671896","13.11.12.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in manufacturing and utilities [9]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105671899","13.11.13.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Unclassified occupations","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105683620","13.12.4.1","","..","","","0"
"2023-01","Northwest Territories","2016A000261","Unclassified occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v105683623","13.12.5.1","","..","","","0"
